,project,schema,iter,coverage
0,angular,random,0,21.425409473218238
1,angular,syntest,0,19.68422605872805
2,angular,typescript,0,22.915744429688655
3,fast-xml-parser,random,0,51.16629044394281
4,fast-xml-parser,syntest,0,45.74868322046652
5,fast-xml-parser,typescript,0,59.44319036869827
6,jimp,random,0,5.214940098661029
7,jimp,syntest,0,7.258632840028189
8,jimp,typescript,0,5.708245243128964
9,jpeg-js,random,0,16.855524079320112
10,jpeg-js,syntest,0,17.847025495750707
11,jpeg-js,typescript,0,0.8498583569405099
12,js-yaml,random,0,77.23048327137546
13,js-yaml,syntest,0,72.76951672862454
14,js-yaml,typescript,0,77.97397769516729
15,lit,random,0,26.408839779005525
16,lit,syntest,0,23.535911602209946
17,lit,typescript,0,26.298342541436465
18,lodash,random,0,76.94851204534719
19,lodash,syntest,0,81.9792158715163
20,lodash,typescript,0,79.26310817194143
21,pako,random,0,58.8006902502157
22,pako,syntest,0,53.88265746333046
23,pako,typescript,0,64.49525452976704
24,protobufjs,random,0,41.00418410041841
25,protobufjs,syntest,0,40.1673640167364
26,protobufjs,typescript,0,40.27196652719665
27,redux,random,0,39.20265780730897
28,redux,syntest,0,39.53488372093023
29,redux,typescript,0,40.199335548172755
30,sharp,random,0,36.627654963155614
31,sharp,syntest,0,48.98136107498917
32,sharp,typescript,0,62.02860858257477
33,tslib,random,0,44.099378881987576
34,tslib,syntest,0,45.03105590062112
35,tslib,typescript,0,60.24844720496895
36,turf,random,0,36.3740676993689
37,turf,syntest,0,26.58491107286288
38,turf,typescript,0,36.30235226620769
39,typescript,random,0,11.752821819140058
40,typescript,syntest,0,9.120587933886718
41,typescript,typescript,0,10.5699269474578
42,xml2js,random,0,56.18556701030928
43,xml2js,syntest,0,56.95876288659794
44,xml2js,typescript,0,36.855670103092784
45,xmldom,random,0,46.0239651416122
46,xmldom,syntest,0,23.03921568627451
47,xmldom,typescript,0,46.568627450980394
